vector-mult,parallel-paw-tiled,4,speed-up,2500,3353,734003,0.038226
jacobi,parallel-non-tiled,4,speed-up,2897,2897,0,0.037250
jacobi,parallel-paw-tiled,4,speed-up,2897,2897,734003,0.151315
jacobi,parallel-paw-single-tiled,4,speed-up,2897,2897,734003,0.147657
matrix-mult,parallel-paw-single-tiled,4,speed-up,1673,1673,734003,33.922948
vector-mult,parallel-paw-single-tiled,4,speed-up,2500,3353,734003,0.015665
vector-mult,parallel-paw-tiled,4,speed-up,2500,3353,734003,0.038237
jacobi,parallel-non-tiled,4,speed-up,2897,2897,0,0.037745
jacobi,parallel-paw-tiled,4,speed-up,2897,2897,734003,0.145855
jacobi,parallel-paw-single-tiled,4,speed-up,2897,2897,734003,0.130136
matrix-mult,parallel-non-tiled,5,speed-up,1673,1673,0,6.922856
matrix-mult,parallel-non-tiled,5,speed-up,1673,1673,0,9.939645
matrix-mult,parallel-paw-tiled,5,speed-up,1673,1673,587202,33.877272
vector-mult,parallel-non-tiled,5,speed-up,2500,3353,0,0.044526
matrix-mult,parallel-paw-tiled,5,speed-up,1673,1673,587202,37.859043
vector-mult,parallel-non-tiled,5,speed-up,2500,3353,0,0.025546
matrix-mult,parallel-paw-single-tiled,5,speed-up,1673,1673,587202,26.908983
vector-mult,parallel-paw-single-tiled,5,speed-up,2500,3353,587202,0.012668
vector-mult,parallel-paw-tiled,5,speed-up,2500,3353,587202,0.056840
jacobi,parallel-non-tiled,5,speed-up,2897,2897,0,0.078733
jacobi,parallel-paw-tiled,5,speed-up,2897,2897,587202,0.157657
jacobi,parallel-paw-single-tiled,5,speed-up,2897,2897,587202,0.149416
matrix-mult,parallel-paw-single-tiled,5,speed-up,1673,1673,587202,33.580849
vector-mult,parallel-paw-tiled,5,speed-up,2500,3353,587202,0.038154
vector-mult,parallel-paw-single-tiled,5,speed-up,2500,3353,587202,0.044981
jacobi,parallel-non-tiled,5,speed-up,2897,2897,0,0.028617
jacobi,parallel-paw-tiled,5,speed-up,2897,2897,587202,0.134411
jacobi,parallel-paw-single-tiled,5,speed-up,2897,2897,587202,0.131791
matrix-mult,parallel-non-tiled,6,speed-up,1673,1673,0,5.936289
matrix-mult,parallel-non-tiled,6,speed-up,1673,1673,0,5.913160
matrix-mult,parallel-paw-tiled,6,speed-up,1673,1673,489335,38.867869
vector-mult,parallel-non-tiled,6,speed-up,2500,3353,0,0.023984
matrix-mult,parallel-paw-tiled,6,speed-up,1673,1673,489335,36.256746
vector-mult,parallel-non-tiled,6,speed-up,2500,3353,0,0.019456
matrix-mult,parallel-paw-single-tiled,6,speed-up,1673,1673,489335,26.111143
vector-mult,parallel-paw-single-tiled,6,speed-up,2500,3353,489335,0.009930
vector-mult,parallel-paw-tiled,6,speed-up,2500,3353,489335,0.040199
jacobi,parallel-non-tiled,6,speed-up,2897,2897,0,0.033932
jacobi,parallel-paw-tiled,6,speed-up,2897,2897,489335,0.167459
jacobi,parallel-paw-single-tiled,6,speed-up,2897,2897,489335,0.131137
matrix-mult,parallel-paw-single-tiled,6,speed-up,1673,1673,489335,33.632602
vector-mult,parallel-paw-single-tiled,6,speed-up,2500,3353,489335,0.042741
vector-mult,parallel-paw-tiled,6,speed-up,2500,3353,489335,0.041419
matrix-mult,parallel-non-tiled,7,speed-up,1673,1673,0,5.075160
jacobi,parallel-non-tiled,6,speed-up,2897,2897,0,0.044736
jacobi,parallel-paw-tiled,6,speed-up,2897,2897,489335,0.140283
jacobi,parallel-paw-single-tiled,6,speed-up,2897,2897,489335,0.148446
matrix-mult,parallel-non-tiled,7,speed-up,1673,1673,0,5.125508
matrix-mult,parallel-paw-tiled,7,speed-up,1673,1673,419430,36.845825
vector-mult,parallel-non-tiled,7,speed-up,2500,3353,0,0.023559
matrix-mult,parallel-paw-tiled,7,speed-up,1673,1673,419430,36.799239
vector-mult,parallel-non-tiled,7,speed-up,2500,3353,0,0.033622
matrix-mult,parallel-paw-single-tiled,7,speed-up,1673,1673,419430,31.648577
vector-mult,parallel-paw-single-tiled,7,speed-up,2500,3353,419430,0.025556
vector-mult,parallel-paw-tiled,7,speed-up,2500,3353,419430,0.038265
jacobi,parallel-non-tiled,7,speed-up,2897,2897,0,0.052229
jacobi,parallel-paw-tiled,7,speed-up,2897,2897,419430,0.157679
jacobi,parallel-paw-single-tiled,7,speed-up,2897,2897,419430,0.143512
matrix-mult,parallel-paw-single-tiled,7,speed-up,1673,1673,419430,26.768513
vector-mult,parallel-paw-single-tiled,7,speed-up,2500,3353,419430,0.031713
vector-mult,parallel-paw-tiled,7,speed-up,2500,3353,419430,0.046647
jacobi,parallel-non-tiled,7,speed-up,2897,2897,0,0.057726
jacobi,parallel-paw-tiled,7,speed-up,2897,2897,419430,0.145708
jacobi,parallel-paw-single-tiled,7,speed-up,2897,2897,419430,0.158652
matrix-mult,parallel-non-tiled,8,speed-up,1673,1673,0,4.359416
matrix-mult,parallel-non-tiled,8,speed-up,1673,1673,0,4.335850
matrix-mult,parallel-paw-tiled,8,speed-up,1673,1673,367001,31.807246
vector-mult,parallel-non-tiled,8,speed-up,2500,3353,0,0.029074
matrix-mult,parallel-paw-tiled,8,speed-up,1673,1673,367001,38.717817
